京温跳楼事件|Jingwen jumping events
革命大批判|Revolutionary mass criticism
反革命政变|Counterrevolutionary coup
反击右倾翻案风|Counterattack the Right-Deviationist Reversal-of-Verdicts Trend
全面反思派|Full Reflection School
重新评价派| Re-evaluation of school
民粹主义者|Populist
批林批孔|Criticize Lin , Criticize Confucius 
派性斗争| Factional struggle
修正主义| Revisionism
新华门|Xinhua Gate
文革信徒|Cultural Revolution believers
反思文革|Reflections on Cultural Revolution
cultural revolution|
文革复辟|Restoration of the Cultural Revolution
红歌晚会|red song gala
十日文革|Ten days of the Cultural Revolution
文化大革命|Cultural Revolution
文化大革命|Cultural Revolution
文革底片|Cultural Revolution film
紅色青年|Red Youth 
李振盛| Li Zhensheng
苗德顺|Miao Deshun 
文革遗产|Cultural Revolution Legacy
共匪|CPC bandits
共匪|CPC bandits
共产流氓|Communist hooligans
暴政掠夺|Tyranny plunder
南京郵電大學|Nanjing University of Posts and Telecommunications
翻牆軟件|Software over the wall
shadowsocks|Shadowsocks
專制統治|Dictatorship
一黨獨裁|One-party dictatorship
团派干部|Tuanpai PERSONNEL
朱镕基|Zhu Rongji
朱镕基|Zhu Rongji
习平衡|Xi balance
各方派系|Factional parties
和平变革|Peaceful change
宪政变革|Constitutional Reform
习皇|Xi Emperor
五一六通知|May 16 Notification
李崇威|Lichong Wei
香港中国笔会|Hong Kong Chinese PEN
红歌演唱会|Red Song Concert
文革| Cultural Revolution
文革余孽|Remnants of the Cultural Revolution
文革平反|Vindication of the Cultural Revolution
吾尔开希|Wuerkaixi
吾尔开希|Wuerkaixi
吴君梅|Wu Junmei
6·4英烈|6.4 martyrs
耀邦紫阳| Yaobang,  Ziyang
张国忠|Zhang Guozhong
于世文|Yu Shiwen
郭飛雄|Guo Feixiong
郭飞雄|Guo Feixiong
悼念64|64 memorial
64之殇|Deaths of 64
64万岁|64 Viva
64文化祭|64 Culture Festival
64文化传播|64 Cultural Communication
64学生坦克|64 students tanks
64伤痛历史|64 pain history
64动百度乱|64 moving Baidu chaos
64事变|64 Incident
64纪念|64 Memorial
64信息|64 Information
64怀念|64 memorials
怀念64|Miss 64
缅怀64|64 recall
平反64|64 rehabilitated
勿忘64|Do not forget 64
64大屠杀|64 massacre
89年64|89 64
64戒严|64 martial law
64惨案|64 tragedy
64学运|64 student movement
64屠杀|64 massacre
64真相|64 Truth
64tiananmen|64tiananmen
南北院之争|North-South School Debate
⑥④|⑥④
木樨地|Muxidi 
木樨地大屠杀|Muxidi massacre
大。法。好|Falun. Dafa. Good.
大。发。好|Falun. Dafa. Good.
文.革|cultural revolution
平反六四|Vindication of June 4
支聯會|Hong Kong Alliance in Support of Patriotic Democratic Movements in China
香港大学生会|The Hong Kong University Students' Union
支連会|Hong Kong Alliance in Support of Patriotic Democratic Movements in China
尖沙嘴|Tsim Sha Tsui
尖沙咀|Tsim Sha Tsui
維園|Victoria Park
燭光|Candlelight
六四平反|June 4 vindication
六四事件|June 4 Incident
六四 北京|June 4 Beijing
六四 八九|June 4 89
六四 军队|June 4 army
六四 胡耀邦|June 4 Hu Yaobang
六四 民主|June 4 Democracy
六四 绝食|June 4 hunger strike
六四 纪念|June 4 Memorial
六四 香港|June 4 Hong Kong
64事件|64 events
64 北京|64 Beijing
64 八九|64 89
64 军队|64 army
64 胡耀邦|64 Hu Yaobang
64 民主|64 democracy
64 绝食|64 hunger strike
64 纪念|64 Memorial
64 香港|64 Hong Kong
八九 学潮|89 Student strike
一九89|1989
八九 北京|89 Beijing
八九 军队|89 Army
八九 胡耀邦|89 Hu Yaobang
八九 民主|89 Democarcy
八九 绝食|89 Hunger strike
八九 纪念|89 Memorial
八九 香港|88 Hong Kong
89 北京|89 Beijing
89 军队|89 army
89 胡耀邦|89 Hu Yaobang
89 民主|89 democracy
89 绝食|89 Hunger strike
89 纪念|89 Memorial
89 香港|89 Hong Kong
89八平方|89 square of 8
北京 政治风波|Beijing political storm
北京 27年|Beijing 27 years
北京 血腥|Beijing bloody
木樨地 纪念|Muxidi Memorials
天安门 黑衫|Tiananmen Blackshirts
天安门 清场|Tiananmen clearance
广场 坦克|Square tank
天安门妈妈|Tiananmen mothers
北京 黑衫|Beijing Blackshirts
港人 游行|Hong Kong parade
寻找 王维林|Looking for Wang Weilin
郭飞雄 公开信|Guo Feixiong open letter
民主风筝|Democratic Kites
唐荆陵 绝食| Tang Jingling hunger strike
张善光 学生| Student Zhang Shanguang
倾斜的天安门|Tilt Tiananmen
贞洁的眼神|Chaste eyes
徐彩虹 被捕|Xu Caihong arrested
六四期间|June 4 period
六四 学生|June 4 student
89 64|8964
六四 坦克|June 4 tank
六四 赵紫阳|June 4 Zhao Ziyang
六四 政府|June 4 government
六四 示威|June 4 demonstration
六四 悼念|June 4 tribute
六四 重返|June 4 return
64期间|64 period
64 学生|64 students
64 殇|64 death
64 坦克|64 tanks
64 赵紫阳|64 Zhao Ziyang
64 政府|64 government
64 示威|64 demonstrators
64 悼念|64 memorial
64 重返|64 return
八九事件|89 event
19八九|1989
八九 学生|89 student
八九 坦克|89 tank
八九 赵紫阳|89 Zhao Ziyang
八九 政府|89 government
八九 示威|89  demonstrations
八九 悼念|89 memorial
八九 重返|89 return
89 学生|89 student
89 坦克|89 tank
89 赵紫阳|89 Zhao Ziyang
89 政府|89 government
89 示威|89 demonstration
89 悼念|89 memorial
89 重返|89 return
89viiv|89VIIV
春夏之交 风波|Political turmoil between the Spring and Summer
北京 二十七年|Beijing twenty-seven years
39军 进京|39th Group Army Enter Beijing
木樨地 蜡烛|Muxidi Candle
天安门 散步|Tiananmen Walking
天安门 重返| To return to Tiananmen Square
广场 屠杀|Square massacre
天安门 受难| Tiananmen Crucifixion
占领 天安门|Occupied Tiananmen Square
维园 晚会|Victoria Park Virgil
杜宪 新闻联播|Du Xian Xinwen Lianbo
郭飞雄 张青|Guo Feixiong Zhang Qing
推土机 种花|Blooms of Darkness
周锋锁 真相|Zhou Fengsuo Truth
李勇 捐款|Li Yong donation
盛雪 推特|Shengxue Twitter
王丹 贴纸|Wang Dan Stickers
白衬衫 散步|White shirt walking
5月35日|May 35
六四 平反|June 4 Vindication
六四 天安门|June 4 Tiananmen
六四 拖拉机|June 4 tractor
六四 腐败|June 4 corruption
六四 座谈|June 4 discussion
六四 静坐|June 4 sit still
六四 黑衫|June 4 blackshirt
六四 街头|June 4 street
64 惨案|64 tragedy
64 平反|64 vindication
64 天安门|64 Tiananmen
64 拖拉机|64 tractor
64 腐败|64 corruption
64 座谈|64 discussion
64 静坐|64 sit still
64 黑衫|64 Blackshirts
64 街头|64 streets
八九风波|89 turmoil
八九 平反|89 vindication
八九 天安门|89 Tiananmen
八九 拖拉机|89 trator
八九 腐败|89 corruption
八九 座谈|89 discussion
八九 静坐|89 sit still
八九 黑衫|89 blackshirts
八九 街头|89 street
89 天安门|89 Tiananmen
89 拖拉机|89 tractor
89 腐败|89 corruption
89 座谈|89 discussion
89 静坐|89 sit still
89 黑衫|89 Blackshirts
89 街头|89 streets
89 屠杀|89 massacre
北京 游行|Beijing parade
北京 平反|Beijing Vindication
北京 坦克人| Beijing tank person
蜡烛 没了|Candle is gone 
天安门 镇压|Tiananmen crackdown
天安门 回忆|Tiananmen memories
广场 拖拉机| Square tractor
六四 烛光|June 4 candlelight
维园 烛光|Victoria Park candlelight
温云超|Wen Yunchao
郭飞雄 维权|Guo Feixiong Rights Defense
民主女神 台湾|Taiwan Goddess of Democracy
封从德|Feng congde
尤维洁| You Weijie
chimerica|Chimerica
张先玲 母亲|Zhang Xianling mother
谭作人 疫苗|Tan Zuoren vaccine
六四 申遗|June 4 inscription
六四 二十七年|June 4 twenty-seven years
六四 镇压|June 4 crackdown
六四 血腥|June 4 bloody
六四 社论|June 4 editorial
六四 游行|June 4 parade
六四 血衣|June 4 Blood pants
六四 反思|June 4 reflection
64风波|64 turmoil
64 二十七年|64 twenty-seven years
64 镇压|64 crackdown
64 血腥|64 bloody
64 社论|64 Editorials
64 游行|64 parade
64 血衣|64 Blood pants
64 反思|64 Reflection
八酒六四|eight wine June 4
八九 27年|89 27 years
八九 镇压|89 repression
八九 血腥|89 bloody
八九 社论|89 editorial
八九 游行|89 parade
八九 血衣|89 Blood pants
八九 反思|89 reflection
89 镇压|89 crackdown
89 血腥|89 bloody
89 社论|89 Editorials
89 游行|89 parade
89 血衣|89 blood shirt
89 反思|89 Reflection
八九 屠杀|89 massacre
北京 学运|Beijing student movement
北京 镇压|Beijing crackdown
北京事件| Beijing Event
蜡烛 没收|Candle confiscation
北京 屠城| Beijing massacre
拖拉机 天安门|Tractor Tiananmen
天安门 敏感词|Tiananmen sensitive words
寻找 坦克|Looking for tanks
坦克 白衬衫| Tank white shirt
赵威 狱中|Zhao Wei prison
特朗普 六四|Trump June 4
玫瑰团队|Rose Team
郭宝胜 被捕|Guo Baosheng arrested
张永宁 t恤|Zhang Yongning T-shirt
费良勇 德国|Fei Liangyong Germany
赫建 采访|Hao Jian Interview
邓丽君 舞台剧|Deng Lijun Stage Play
六四 学潮|June 4 student strike
六四 27年|June 4 27 years
六四 遇难|June 4 victim
六四 邓小平|June 4 Deng Xiaoping
六四 中共|June 4 CCP
六四 39军|June 4 39th Group Army
六四 清场|June 4 clearance
六四 呼吁|June 4 advocate
陆4|Land 4
64 学潮|64 Student Strike
64 27年|64 27 Years
64 遇难|64 victims
64 邓小平|64 Deng Xiaoping
64 中共|64 Chinese Communist Party
64 39军|64 39th Group Army
64 清场|64 clearance
64 呼吁|64 advocate
八的平方|Square of 8
捌玖年|89 year
八九 二十七年|89 twenty-seven years
八九 遇难|89 victims
八九 邓小平|89 Deng Xiaoping
八九 中共|89 Chinese Communist party
八九 39军|89 39th Group Army
八九 清场|89 clearance
八九 呼吁|89 advocate
八九 屠城|89 massacre
89 遇难|89 victims
89 邓小平|89 Deng Xiaoping
89 中共|89 Chinese Communist Party
89 39军|89 39th Group Army
89 清场|89 clearance
89 呼吁|89 advocate
89之光|light of 89
89爱国运动|89 Patriotic Movement
北京 学潮|Beijing student movement
北京 清场| Beijing Clearance
北京 学生领袖|Beijing student leaders
木樨地甩站|Muxidi Subway Station 
天安门 血|Tiananmen blood
天安门 27年|Tiananmen Square 27 years
天安门母亲|Tiananmen Mothers
毋忘六四|Never Forget June 4
六四 无日无之|June 4 almost every day
符海陆|Fu Hailu
考拉 狱中|Koala prison
川普 六四|Trump June 4
于世文 绝食|Yu Shiwen hunger strike
徐琳 歌曲| Xu Lin songs
张永宁 纪念| Zhang Yongning Memorial
王策 西班牙|Wang Ce Spain
徐彩虹 北京|Xu Caihong Beijing
绿叶行动| Green Leaf action
六四北京|June 4 Beijing
六四八九|June 4 89
六四军队|June 4 army
六四胡耀邦|June 4 Hu Yaobang
六四民主|June 4 democracy
六四绝食|June 4 hunger strike
六四纪念|June 4 memorial
六四香港|June 4 Hong Kong
64北京|64 Beijing
64八九|64 89
64军队|64 army
64胡耀邦|64 Hu Yaobang
64民主|64 democracy
64绝食|64 hunger strike
64香港|64 Hong Kong
八九学潮|89 student strike
八九北京|89 Beijing
八九军队|89 army
八九胡耀邦|89 Hu Yaobang
八九民主|89 democracy
八九绝食|89 hunger strike
八九纪念|89 memorial
八九香港|89 Hong Kong
89北京|89 Beijing
89军队|89 army
89胡耀邦|89 Hu Yaobang
89民主|89 democracy
89绝食|89 hunger strike
89纪念|89 Memorial
89香港|89 Hong Kong
北京政治风波|Beijing political storm
北京27年|Beijing 27 years
北京血腥|Beijing bloody
木樨地纪念|Muxidi Memorials
天安门黑衫|Tiananmen Blackshirts
天安门清场|Tiananmen clearance
广场坦克|Square tank
北京黑衫| Beijing Blackshirts
港人游行|Hong Kong parade
寻找王维林|Looking For Wang Weilin
郭飞雄公开信|Guo Feixiong open letter
唐荆陵绝食|Tang Jingling hunger strike
张善光学生|Student Zhang Shanguang
徐彩虹被捕| Xu Caihong arrested
六四学生|June 4 student
8964|
8964|
六四坦克|June 4 tank
六四赵紫阳|June 4 Zhao Ziyang
六四政府|June 4 government
六四示威|June 4 demostration
六四悼念|June 4 memorial
六四重返|June 4 return
64学生|64 students
64殇|64 death
64坦克|64 tanks
64赵紫阳|64 Zhao Ziyang
64政府|64 government
64示威|64 demonstrators
64悼念|64 demostration
64重返|64 return
八九学生|89 student
八九坦克|89 tank
八九赵紫阳|89 Zhao Ziyang
八九政府|89 government
八九示威|89 demostration
八九悼念|89 memorial
八九重返|89 return
89学生|89 students
89坦克|89 tanks
89赵紫阳|89 Zhao Ziyang
89政府|89 government
89示威|89 demonstrators
89悼念|89 memorial
89重返|89 return
春夏之交风波|turmoil between spring and summer
北京二十七年|Beijing twenty-seven years
39军进京|39th Group Army enter Beijing
木樨地蜡烛|Muxidi Candle
天安门散步| Tiananmen Walking
天安门重返| To return to Tiananmen Square
广场屠杀| Square massacre
天安门受难|Tiananmen Crucifixion
占领天安门|Occupy Tiananmen Square
维园晚会| Victoria Park show
杜宪新闻联播|Du Xian Xinwen Lianbo
郭飞雄张青|Guo Feixiong Zhang Qing
推土机种花|Blooms of Darkness
周锋锁真相|Zhou Fengsuo Truth
李勇捐款|Li Yong Contributions
盛雪推特|Sheng Xue tweets
王丹贴纸|Wang Dan Stickers
白衬衫散步|White shirt walking
六四天安门|June 4 Tiananmen
六四拖拉机|June 4 tractor
六四腐败|June 4 corruption
六四座谈|June 4 discussion
六四静坐|June 4 sit still
六四黑衫|June 4 blackshirt
六四街头|June 4 street
64平反|64 vindication
64天安门|64 Tiananmen
64拖拉机|64 tractor
64腐败|64 corruption
64座谈|64 discussion
64静坐|64 sit still
64黑衫|64 Blackshirts
64街头|64 streets
八九平反|89 vindication
八九天安门|89 Tiananmen
八九拖拉机|89 tractor
八九腐败|89 corruption
八九座谈|89 discussion
八九静坐|89 sit still
八九黑衫|89 blackshirts
八九街头|89 street
89天安门|89 Tiananmen
89拖拉机|89 tractor
89腐败|89 corruption
89座谈|89 discussion
89静坐|89 sit still
89黑衫|89 Blackshirts
89街头|89 streets
89屠杀|89 massacre
北京游行|Beijing parade
北京平反|Beijing vindication
北京坦克人|Beijing tanks person
蜡烛没了|Candle is gone
天安门镇压|Tiananmen crackdown
天安门回忆|Tiananmen memories
广场拖拉机|Square tractor
六四烛光|Sixty-four candlelight
维园烛光|Victoria Park candlelight
郭飞雄维权|Activist Guo Feixiong
民主女神台湾|Taiwan Goddess of Democracy
张先玲母亲|Zhang Xianling mother
谭作人疫苗|Tan Zuoren vaccine
六四申遗|June 4 inscription
六四二十七年|June 4 twenty-seven years
六四镇压|June 4 crackdown
六四血腥|June 4 bloody
六四社论|June 4 editorial
六四游行|June 4 parade
六四血衣|June 4 blood shirt
六四反思|June 4 reflection
64二十七年|64 twenty-seven years
64镇压|64 crackdown
64血腥|64 bloody
64社论|64 Editorials
64游行|64 parade
64血衣|64 pants
64反思|64 Reflection
八九27年|89 27 years
八九镇压|89 repression
八九血腥|89 bloody
八九社论|89 editorial
八九游行|89 parade
八九血衣|89 blood shirt
八九反思|89 reflection
89镇压|89 crackdown
89血腥|89 bloody
89社论|89 Editorials
89游行|89 parade
89血衣|89 blood shirt
89反思|89 Reflection
八九屠杀|89 massacre
北京学运|Beijing student movement
北京镇压| Beijing crackdown
蜡烛没收|Candle confiscation
北京屠城| Beijing massacre
天安门二十七年|Tiananmen twenty-seven years
拖拉机天安门|Tractor Tiananmen
天安门敏感词|Tiananmen sensitive words
寻找坦克| Looking for tanks
坦克白衬衫|Tank white shirt
赵威狱中| Zhao Wei prison
特朗普六四|Trump June 4
郭宝胜被捕|Guo Baosheng arrested
张永宁t恤|Zhang Yongning T-shirt
费良勇德国|Fei Liangyong Germany
赫建采访|Hao Jian Interview
邓丽君舞台剧|Deng Lijun Stage Play
六四学潮|June 4 student strike
六四27年|June 4 27 years
六四遇难|June 4 victims
六四邓小平|June 4 Deng Xiaoping
六四中共|June 4 Chinese Communist Party
六四39军|sixty-four 39th Group Army
六四清场|June 4 clearance
六四呼吁|June 4 advocate
64学潮|64 Student Strike
6427年|June 4 27 years
64遇难|64 victims
64邓小平|64 Deng Xiaoping
64中共|64 Chinese Communist Party
6439军|64 39th Group Army
64清场|64 clearance
64呼吁|64 advocate
八九二十七年|89 twenty-seven years
八九遇难|89 victims
八九邓小平|89 Deng Xiaoping
八九中共|89 Chinese Communist party
八九39军|89 39th Group Army
八九清场|89 clearance
八九呼吁|89 advocate
八九屠城|89 massacre
89遇难|89 victims
89邓小平|89 Deng Xiaoping
89中共|89 CPC
8939军|89 39th Group Army
89清场|89 clearance
89呼吁|89 advocate
北京学潮|Beijing student movement
北京清场|Beijing Clearance
北京学生领袖|Beijing student leaders
天安门血|Tiananmen blood
天安门27年|Tiananmen Square 27 years
六四无日无之|June 4 almost every day
考拉狱中|Koala prison
川普六四|Trump June 4
于世文绝食|Wen world hunger
徐琳歌曲|Xu Lin songs
张永宁纪念| Zhang Yongning Memorial
王策西班牙|Wang Ce Spain
徐彩虹北京|Xu Caihong Beijing
六四|Six Four
六四|Six Four
六四|Six Four
大花猫捕狗药|Tabby Cat catch drug dog
闹狗药|Trouble drug dog
毒狗箭|Dog poison arrow
毒狗丸|Dog poison pill
毒狗针|Dog poison needle
氯化琥珀胆碱|Succinylcholine chloride
平近习|Xi Jinping
林祖銮|Lin Zulian
林祖戀|Lin Zulian
還我書記|Return our secretary
林荣基|Lam Wing Kee
天國樂團|Tian Guo Marching Band
天国乐团|Tian Guo Marching Band
彭丽媛|Peng Liyuan
彭丽媛|Peng Liyuan
彭丽媛|Peng Liyuan
彭麻麻|Peng Ma Ma
中央 习|Central Xi
习大大|Uncle Xi or Big Daddy Xi
习大大|Uncle Xi or Big Daddy Xi
刁近乎|Diao Jinhu
全歼菲方空军|Wipe out the Philippine Air Force
习总的拒绝|President Xi's rejection
中央政治局|Central Poliburo
快手号|Kuai Shou ID
快手id|Kuai Shou ID
快手呺|Kuai Shou ID
映客|Ying Ke
快手|Kuai Shou
陌陌|Momo
六间房|Six Room
六间房|Six Room
网易bobo|Netease BOBO
腾讯直播|Tencent Live
qq空间直播|QQ Space Live
花样直播|Hua Yang Live
繁星|Fan Xing
奇秀|Qi Xiu
酷我|Ku Wo
秀色|Xiu Se
kk直播|KK Live
红磨坊|Moulin Rouge
17173|
69直播|69 Live
火山直播|Huo Shan Live
美拍直播|Mei Pai Live
阿里星球|Ali Planet
熊猫tv|Panda TV
全民tv|Quanmin Live
龙珠直播|Long Zhu Live
股票资源网|Stocks News
草榴网|Caoliu
工字牌气枪官网|Jeans brand airguns official website
guaji9158|Guaji9158
担保平台|Guarantee platform
爆款刷单|click farming
军区参谋长|Military Chief of Staff
国务院|State Council
中央领导人|Central Leaders
中共中央|CPC Central Committee
滿屏盡是習寬衣|Screen bomboarded with Xi Undress
習寬衣|Xi Undress
省用足財|Reduce Cost, Accumulate Wealth. 
懋穡勸分|Work Hard, Help Each Other.
衣帶漸寬終不悔|My Clothes Grow More Loose Daily, Yet Care I Not. 
輕關易盜|Lower Taxation, Maintain Roads.
通商寬驛|Facilitate Commerce and Loosen Stations
同商寬衣|Same Commerce, Loosen Clothing
寬衣解帶|loosen the clothing and undo the tie/belt/girdle
放寬農政|loosen regulations on agricultural policies
通商寬nong|facilitate commerce and be lenient to nong 
通商寬yi|Facilitate Commerce and Loosen Clothing
通商寬農新成語|New Idiom of "Facilitate Commerce and Be Lenient to Farmers"
習主席用典|President Xi Allusions
初中生解衣|Junior high school students undress
做生意脫衣服|Do Business, Strip clothes.
维卡币|OneCoin
狠货代理|Ruthless cargo agent
俞正声|Yu Zhengsheng
郭声琨|Guo Shengkun
李克强|Li Keqiang
李克强|Li Keqiang
李克强|Li Keqiang
孟建柱|Meng Jianzhu
中央军军委|Army Central Military Commission
东突厥斯坦|East Turkestan
东突厥斯坦|East Turkestan
大毛拉教义|Maulana doctrine
大毛拉教义|Maulana doctrine
伊斯兰之声|Sound Islam
伊斯兰之声|Sound Islam
伊斯兰之声|Sound Islam
公道来了|justice has arrived
公道来了|justice has arrived
奸诈走了|Treacherous go
奸诈走了|Treacherous go
突厥斯坦|Turkestan
突厥斯坦|Turkestan
大毛拉|Maulana
大毛拉|Maulana
魔鬼的朋友战斗|Devil's friend fighting
魔鬼的朋友战斗|Devil's friend fighting
我们的道路|Our roads
我们的道路|Our roads
有教益故事|Instructive story
有教益故事|Instructive story
卡菲尔|Kafir
卡菲尔|Kafir
穆斯林|Muslim
穆斯林|Muslim
宗教解释|Religious explanations
宗教解释|Religious explanations
周永康|Zhou Yongkang
周永康|Zhou Yongkang
周永康|Zhou Yongkang
薄熙来|Bo Xilai
薄熙来|Bo Xilai
薄熙来|Bo Xilai
徐才厚|Xu Caihou
徐才厚|Xu Caihou
徐才厚|Xu Caihou
令计划|Ling Jihua
令计划|Ling Jihua
郭伯雄|Guo Boxiong
郭伯雄|Guo Boxiong
郭伯雄|Guo Boxiong
恶搞领袖|Spoof leaders
恶搞领袖|Spoof leaders
麻痹哥|Paralysis brother
麻痹哥|Paralysis brother
戴建勇|Dai Jianyong
戴建勇|Dai Jianyong
习达姆|Xi Dam
习达姆|Xi Dam
土鼠年和平革命|Earth Rat peaceful revolution
土鼠年和平革命|Earth Rat peaceful revolution
西藏简史|A Brief History of Tibet
西藏简史|A Brief History of Tibet
freeing tibet|Freeing tibet
freeing tibet|Freeing tibet
天葬|sky burial 
天葬|sky burial 
黄祸|Peril
黄祸|Peril
tibetan buddhism|Tibetan buddhism
tibetan buddhism|Tibetan buddhism
救救拉萨|Save Lhasa
救救拉萨|Save Lhasa
自由人心路|Free man mentality
自由人心路|Free man mentality
劝解合集|Persuasion Collection
天堂恋人|Lovers Paradise
天堂恋人|Lovers Paradise
天堂恋人|Lovers Paradise
东突穆斯林|East Turkistan Muslim
东突穆斯林|East Turkistan Muslim
圣战者|Mujahideen
圣战者|Mujahideen
宗教的劝告|Religion advice
迁徙者|Migrants
江系老军头|Jiang's old army head
江系老军头|Jiang's old army head
格丹央金措姆|Li Xiaolin's alleged religious name
江系大老虎|Jiang's tigers
一朝忽觉京梦醒|Once the vision is sometimes wake up in Beijing
邓小平篡权|Deng Xiaoping usurper
走资派邓小平|capitalist roader Deng Xiaoping
走资派邓小平|capitalist roader Deng Xiaoping
学生运动|Student Movement
学生运动|Student Movement
学生运动|Student Movement
包子心狠手辣|Buns ruthless
包子心狠手辣|Buns ruthless
处女进贡|Virgin tribute
侣行|On The Road
侣行|On The Road
e租宝|Ezubao
e租宝|Ezubao
e租宝|Ezubao
e租宝|Ezubao
租宝|Ezubao
租宝|Ezubao
e 租宝|Ezubao
e 租宝|Ezubao
e 租 宝|Ezubao
e 租 宝|Ezubao
e 租宝|Ezubao
e 租宝|Ezubao
e 租 宝|Ezubao
e 租 宝|Ezubao
易租宝|Yi Zu Bao
易租宝|Yi Zu Bao
fx气皇|fx gas Wong
fx气皇|fx gas Wong
gamo竞技之王|Gamo king of athletics
秃鹰膛线管|Vultures rifled tube
秃鹰狗|Condor dog
秃鹰狗|Condor dog
秃鹰狗|Condor dog
工字牌qb19|Workers plates QB19
秃鹰汽长狗|Vultures steam long dog
秃鹰汽长狗|Vultures steam long dog
仿真长狗|Simulation of Long Dog
仿真长狗|Simulation of Long Dog
短狗|Short Dog
特级运动长弹|Extra long projectile motion
特级运动长弹|Extra long projectile motion
花山n306|Huashan N306
花山n306|Huashan N306
m4a1|M4A1
柯尔特1911|Colt 1911
狗配件|Dog Accessories
狗配件|Dog Accessories
大口径pcp|Large caliber PCP
大口径pcp|Large caliber PCP
瓦尔特统治者|Walter ruler
l新型火箭|L new rocket
金钟汽枪|Admiralty Motor Gun
金钟汽枪|Admiralty Motor Gun
金钟气狗|Admiralty gas dog
金钟气狗|Admiralty gas dog
秃鹰图纸|Vulture drawing
秃鹰图纸|Vulture drawing
瑞典fx|Sweden fx
瑞典fx|Sweden fx
猎枪弹|Shotgun shells
猎枪弹|Shotgun shells
秃鹰配件|Vulture Accessories
秃鹰配件|Vulture Accessories
西德ks316|West Germany ks316
654k气枪|654K airgun
654k气枪|654K airgun
92式手狗|92 type hand dog
92式手狗|92 type hand dog
77式手狗|77 type hand dog
77式手狗|77 type hand dog
77式手枪|77 pistol
77式手枪|77 pistol
654k手枪|654k pistol
654k手枪|654k pistol
45mm铅弹|45MM pellet
45mm铅弹|45MM pellet
45mm狗粮|45MM Food
45mm狗粮|45MM Food
三角牌气枪|Triangle airgun
三角牌气枪|Triangle airgun
汽手狗|Steam Hand Dog
54式手枪|54 pistol
54式手枪|54 pistol
手拉狙|Hand spy
手拉狙|Hand spy
海豹m9|Seals M9
进口气狗|Dogs imported gas
进口气狗|Dogs imported gas
进口气狗|Dogs imported gas
运动枪|Sports Guns
运动枪|Sports Guns
韩国叛逆者|Korea traitor
土制炸弹|IEDs
土制炸弹|IEDs
土制手榴弹|Homemade grenade
土制手榴弹|Homemade grenade
土制手雷|Homemade grenades
土制手雷|Homemade grenades
起爆药|Primary Explosive
起爆药|Primary Explosive
塑胶炸药|Plastic explosive
塑胶炸药|Plastic explosive
自制炸药|Homemade explosives
自制炸药|Homemade explosives
c4橡胶炸药|C4 explosives rubber
c4橡胶炸药|C4 explosives rubber
土制火药|Home-made gunpowder
土制火药|Home-made gunpowder
土制火药|Home-made gunpowder
土制燃烧弹|Home-made incendiary
土制燃烧弹|Home-made incendiary
土制燃烧弹|Home-made incendiary
黑火药|Black powder
黑火药|Black powder
硝铵炸药|Explosive
硝铵炸药|Explosive
迫击炮弹|Mortar shells
炸弹|bomb
炸弹|bomb
雷管|Detonator
雷管|Detonator
燃烧瓶|Molotov cocktails
燃烧瓶|Molotov cocktails
燃烧瓶|Molotov cocktails
塑料炸弹|Plastic explosives
塑料炸弹|Plastic explosives
petn|PETN
petn|PETN
尼泊尔刀|Nepal knife
尼泊尔刀|Nepal knife
尼泊尔狗腿刀|Nepal dogleg knife
尼泊尔狗腿刀|Nepal dogleg knife
斩马刀|Zhanma Dao
斩马刀|Zhanma Dao
三棱刀|Tri knife
博伊刀|Boyd knife
博伊刀|Boyd knife
廓尔喀刀|Kukri
廓尔喀刀|Kukri
蜘蛛刀|Spider knife
蜘蛛刀|Spider knife
苗刀|Miao knife
蝴蝶甩刀|Butterfly flail
蝴蝶甩刀|Butterfly flail
卡巴刀|Ka-Bar
卡巴刀|Ka-Bar
勃郎宁刀|Browning knife
勃郎宁刀|Browning knife
匕首|dagger
三棱刮刀|Triangular scraper
三棱刮刀|Triangular scraper
跳刀|Jump knife
军品刺刀|Military bayonet
军品刺刀|Military bayonet
d80军刺|d80 Shanker
d80军刺|d80 Shanker
战术刀具|Tactical Tool
战术军刀|Tactical Saber
战术军刀|Tactical Saber
麻醉弩箭|Anesthesia bolt
麻醉弩箭|Anesthesia bolt
精品弓弩|Toys crossbow
精品弓弩|Toys crossbow
弩弓制作图纸|Crossbow production drawings
弩弓制作图纸|Crossbow production drawings
黑森林弓弩|Black Forest crossbow
黑森林弓弩|Black Forest crossbow
三健弓弩|Threebond crossbow
三健弓弩|Threebond crossbow
弓弩麻醉箭|Anesthesia crossbow arrow
弓弩麻醉箭|Anesthesia crossbow arrow
森林之鹰|Eagle Forest
小飞狼|Flying Wolf
森林之狼|Wolf Forest
气枪弩|Crossbow airguns
军用弩箭|Military bolt
军用弩箭|Military bolt
猎豹弓弩|Cheetah crossbow
猎豹弓弩|Cheetah crossbow
弩枪|Crossbow gun
弩枪|Crossbow gun
十字弩|Crossbow
钢弩|Arbalest
狩猎弩|Hunting crossbow
狩猎弩|Hunting crossbow
警用弩|Police crossbow
大黑鹰弓弩|Great Black Hawk crossbow
大黑鹰弓弩|Great Black Hawk crossbow
黑曼巴弩|Black Mamba crossbow
黑曼巴弩|Black Mamba crossbow
k粉|K powder
k粉|K powder
